No.;;Fast_Food;Sumber;Tipe;Jenis_Olahan;Label Daging;Label Sayur;Label Buah;Label Kacang;Bumbu;Singkong;Beras;Mie;Pengganti Nasi;Makanan Pokok;Label Snack;Lauk;Mentah;Label Minuman;Label Goreng;Rebus;Kukus;Panggang;Label Seafood;Label Tepung;Label Kuah;Label Pedas;Daging Ayam;Daging Kambing;Daging Babi;Daging Sapi;Ikan;Gambar
383;Domba ginjal segar;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;https://media.istockphoto.com/id/1457294473/id/foto/ginjal-domba-segar-mentah-di-atas-talenan.jpg?s=612x612&w=0&k=20&c=coamiTuIqCOb7QJ-3vJkyY6CWF7hjKA75JGFQmQFCDw=
384;Duku;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Duku_Lansium_domesticum_Ripe.jpg/1200px-Duku_Lansium_domesticum_Ripe.jpg
385;Duku, Segar;Tidak;Buah;Makanan Ringan;Mentah;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Duku_Lansium_domesticum_Ripe.jpg/1200px-Duku_Lansium_domesticum_Ripe.jpg
386;Dunkin donat keju;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;https://assets-pergikuliner.com/Mql1rnW7Tdu5u_151mETTwi6h8Q=/fit-in/1366x768/smart/filters:no_upscale()/https://assets-pergikuliner.com/uploads/image/picture/2121048/picture-1610613157.jpg
387;Durian;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://thumb.viva.id/intipseleb/663x372/2023/06/03/647b10df876dc-fakta-buah-durian.jfif
388;Durian, Segar;Tidak;Buah;Makanan Ringan;Mentah;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://thumb.viva.id/intipseleb/663x372/2023/06/03/647b10df876dc-fakta-buah-durian.jfif
389;Duwet segar;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://t-2.tstatic.net/jogja/foto/bank/images/duwet-atau-jamblang_20181006_142430.jpg
390;Eceng Gondok;;;;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://unair.ac.id/wp-content/uploads/2022/11/Foto-by-detikFood.jpeg
391;Embacang;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://s0.bukalapak.com/img/037360101/large/144135_2embacang.jpg
392;Empal (daging) Goreng masakan;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;https://cdn-2.tstatic.net/batam/foto/bank/images/resep-empal.jpg
393;Empal daging;;;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;https://images.tokopedia.net/img/KRMmCm/2022/8/10/d9d2efc9-26bf-412d-b343-ead204f2335e.jpg
394;Empal Goreng;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;https://ikafood.com/wp-content/uploads/2020/09/Empal-Gepuk.jpg
395;Emping (kerupuk melinjo);;;;;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;https://cdns.klimg.com/merdeka.com/i/w/news/2020/09/24/1224077/540x270/cara-membuat-emping-melinjo-yang-gurih-dan-renyah-mudah-dipraktikkan.jpg
396;Emping beras;;;;;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;https://id-test-11.slatic.net/p/8d475dd96749024eb4626810ea458829.jpg
397;Emping komak;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;https://s2.bukalapak.com/img/762986024/large/Cemilan__Emping_Komak_Lombok_.jpg
398;Emping melinjo asin;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;https://images.tokopedia.net/img/cache/700/VqbcmM/2021/6/10/1b00337b-baf9-46e3-a963-6487d29db53e.jpg
399;Encung asam segar;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://agretail.id/uploads/news/news_20200728174010_846.jpeg
400;Enting-enting gepuk hello kity;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;https://lzd-img-global.slatic.net/g/p/46ae93d66169830341e0450a39d663b5.jpg_720x720q80.jpg_.webp
401;Enting-enting gepuk kacang tanah;;;;;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;https://eventkampus.com/data/artikel/2/enting-enting-khas-salatiga-asal-usul-dan-kandungan-nutrisi-dalam-enting-enting.jpeg
402;Enting-enting wijen;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;https://img-global.cpcdn.com/recipes/fb33825abf7ebb72/680x482cq70/enting-enting-kacang-wijen-foto-resep-utama.jpg
403;Erbis;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://media.suara.com/pictures/653x366/2022/07/10/74690-ilustrasi-erbis.jpg
404;Es cendol;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;https://kurio-img.kurioapps.com/21/04/09/7fbb8c6a-cb83-401e-8f6b-bce32c4c4d8e.jpe
405;Es kelapa muda;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;https://asset.kompas.com/crops/LgGmDBxglevUdnCm4fWkEIkVy-U=/0x0:739x493/750x500/data/photo/2020/01/29/5e3187c1ac05f.jpg
406;Es Krim;Ya;Susu;Makanan Berat;Beku;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.nestleprofessional.co.id/sites/default/files/srh_recipes/b683df6af4cbdd4ff565dae0506d70ca_vanilla_serve.png
407;Es Krim (Coconut milk);;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;https://cdn.nutritioninthekitch.com/wp-content/uploads/2022/03/Coconut-ice-cream-5-800x1184.jpg
408;Es Mambo;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.masakapahariini.com/wp-content/uploads/2020/06/es-mambo.jpg
409;Es Sirup;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;https://cdn.yummy.co.id/content-images/images/20220619/xfaVB26SMb4zm5RAt72MsKdSiArIkWyc-31363535363231363533d41d8cd98f00b204e9800998ecf8427e.jpg?x-oss-process=image/resize,w_388,h_388,m_fixed,x-oss-process=image/format,webp
410;Fillet O-Fish;Tidak;Ikan;Makanan Berat;Goreng;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;https://upload.wikimedia.org/wikipedia/commons/f/f7/McDonald%27s_Filet-O-Fish_sandwich_%281%29.jpg
411;Gadeng/Gadung kering;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;https://cf.shopee.co.id/file/4bd71bb1fd0ed9886cc4dd7af0f7b436
412;Gado0Gado;Tidak;Sayur;Makanan Ringan;Kukus;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://upload.wikimedia.org/wikipedia/commons/a/a2/Gado_gado.jpg
413;Gado-gado;;;;;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://upload.wikimedia.org/wikipedia/commons/a/a2/Gado_gado.jpg
414;Gadung kukus;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;https://img-global.cpcdn.com/recipes/51c229856c44e39a/680x482cq70/gadung-kukus-foto-resep-utama.jpg
415;Gadung mentah;;;;;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://jernih.co/wp-content/uploads/gadung-1.jpg
416;Gadung ubi kukus;;;;;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;https://img-global.cpcdn.com/recipes/51c229856c44e39a/1200x630cq70/photo.jpg
417;Gadung ubi segar;;;;;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://images.tokopedia.net/img/cache/500-square/product-1/2019/5/8/6003009/6003009_42d1e66b-cf0c-44b1-bf85-82709633f561.png
418;Gambas (Oyong);;;;;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;https://static.honestdocs.id/system/blog_articles/main_hero_images/000/001/679/original/15_Manfaat_Sayur_Gambas_%28Oyong%29_Bagi_Kesehatan.jpg
419;Gambas lodeh;;;;;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;https://cdn.yummy.co.id/content-images/images/20210411/n8JWL5o9Saqut50aP4W9cCHqob98nCg8-31363138313239343736d41d8cd98f00b204e9800998ecf8427e.jpg?x-oss-process=image/resize,w_388,h_388,m_fixed,x-oss-process=image/format,webp
420;Gandaria;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://awsimages.detik.net.id/community/media/visual/2019/12/27/cdbc1b24-d9d7-4212-a38f-f527093a21e6_43.jpeg?w=600&q=90
421;Ganyong kukus;;;;;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;https://pbs.twimg.com/media/FaAqu9paIAEm13B?format=jpg&name=4096x4096
422;Ganyong mentah;;;;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://3.bp.blogspot.com/-NKNz9WU0oo8/WfobcfcbliI/AAAAAAAAAQk/yJ3EvQk5_xQucwTaboHstWVS56JUmjjxACLcBGAs/s1600/IMG_6745.JPG
423;Ganyong rebus;;;;;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://assets-a1.kompasiana.com/items/album/2019/11/18/fb-img-1574037281653-5dd1e7e2d541df7e5258fdc2.jpg
424;Ganyong segar;;;;;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://id-test-11.slatic.net/p/b5d4ead3758c0c6492d33214e29bf296.jpg
425;Gaplek;;;;;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;https://img-global.cpcdn.com/recipes/136bf6be239b77b2/1280x1280sq70/photo.webp
426;Gatep segar;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;https://visitbali.id/images/data/2021/Sep/27/615168beaee801728.jpg
427;Gatot;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;https://upload.wikimedia.org/wikipedia/commons/f/fb/19._Gathot_2.jpg
428;Geblek;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;https://assets.pikiran-rakyat.com/crop/13x117:1065x1297/x/photo/2022/07/22/2059763332.jpg
429;Gelatine;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://asset.kompas.com/crops/_L9e1vMf1G0xP0ebOzrif0YDzzQ=/0x0:1000x667/750x500/data/photo/2020/10/06/5f7c01379379a.jpg
430;Gembili;;;;;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://awsimages.detik.net.id/community/media/visual/2020/05/04/47dff53b-5a39-4136-907a-51e3754353b1_169.png?w=650&q=90
431;Gembili ubi segar;;;;;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//101/MTA-48006729/tidak_ada_merk_umbi_gembili_500_gram_ubi_gembili_ketan_pulen_segar_full03_9aa38a1b.jpg
432;Gemblong;;;;;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;https://asset.kompas.com/crops/I3Y-iWTZTZ0TLo5ZTtNqPtrya_s=/0x73:1280x926/750x500/data/photo/2020/08/16/5f3913fdc5e69.jpg
433;Gendar goreng;;;;Goreng;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;https://img-global.cpcdn.com/recipes/8740dfff5f5019cb/1200x630cq70/photo.jpg
434;Genjer segar;;;;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://images.tokopedia.net/img/cache/700/product-1/2020/5/15/7845717/7845717_a5118472-420f-4bf5-a311-ff8401926d6d_1000_1000.jpg
435;Geplak;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;https://www.tuguwisata.com/wp-content/uploads/2017/10/chefjourneys_3_10_2017_14_6_38_173.jpg
436;Geplak jahe;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;https://id-live-01.slatic.net/p/e9d3d5c495903bfc0909965e77c210ad.jpg
437;Gete kuah asam masakan;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;https://nilaigizi.com/assets/images/produk/produk_1535785356.jpg
438;Getuk goreng;;;;Goreng;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;https://resepkoki.id/wp-content/uploads/2016/03/Resep-Getuk-goreng.jpg
439;Getuk lindri;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
440;Getuk pisang;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;https://asset.kompas.com/crops/l3xnQh1pGb-JXXnQlqwMVzdfRMo=/0x0:1000x667/750x500/data/photo/2022/12/25/63a7a3ef59ddd.jpeg
441;Getuk singkong;;;;;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;https://images.tokopedia.net/img/KRMmCm/2022/8/9/d04d11c4-f1e5-4595-8166-a53955b475ca.jpg
442;Ginjal Babi;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;https://s1.bukalapak.com/img/6117974221/large/GINJAL_BABI___PORK_KIDNEY_.jpg
443;Ginjal Domba;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/6/21/c055064b-bb60-4818-b25b-4213572335df.jpg
444;Ginjal Sapi;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;https://i0.wp.com/herald.id/wp-content/uploads/2023/01/google.jpg?fit=521%2C405&ssl=1
445;Gudeg;;;;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://asset.kompas.com/crops/lU3xDz9UDCYg9qWpqGqyuTTq5CQ=/23x0:868x563/750x500/data/photo/2022/07/12/62ccebf61f9ce.jpeg
446;Gudeg sayur;;;;;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;https://1.bp.blogspot.com/-dubLmtxl4XI/V9NzynrpH4I/AAAAAAAAZTY/Mh8U8r2Fy58EWteb0ARFDyZWj7Wot4n0ACLcB/s1600/A%2BGUDEG%2BBASAH%2BIG.jpg
447;Gudeg, Sayur;Tidak;Sayur;Makanan Ringan;Kukus;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;https://asset.kompas.com/crops/lU3xDz9UDCYg9qWpqGqyuTTq5CQ=/23x0:868x563/750x500/data/photo/2022/07/12/62ccebf61f9ce.jpeg
448;Gula Aren;;;;;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://pertanian.uma.ac.id/wp-content/uploads/2023/02/61b16531c9fe7.jpg
449;Gula Kelapa;;;;;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://centralagrolestari.com/public/storage/pos/images/1626581730.jpg
450;Gula Merah Tebu belum dimurnikan;;;;;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://img.my-best.id/content_section/choice_component/contents/31f66e56783bda930982232d7debc6ca.jpg?ixlib=rails-4.3.1&q=70&lossless=0&w=690&fit=max&s=3f720921b474d65bdf6d775ab995d54c
451;Gula putih;;;;;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://s0.bukalapak.com/bukalapak-kontenz-production/content_attachments/88280/original/manfaat_gula_pasir_main_image.jpg
452;Gulai asam keueung;Tidak;Ikan;Makanan Berat;Gulai;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;https://img-global.cpcdn.com/recipes/8f989c17e5803c3b/680x482cq70/gulai-asam-keueng-asam-pedas-tongkol-seafoodfestival-foto-resep-utama.jpg
453;Gulai asam keueung masakan;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;https://img-global.cpcdn.com/recipes/8f989c17e5803c3b/680x482cq70/gulai-asam-keueng-asam-pedas-tongkol-seafoodfestival-foto-resep-utama.jpg
454;Gulai ayam;;;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;https://awsimages.detik.net.id/community/media/visual/2021/08/30/resep-gulai-ayam-rumah-makan-padang_43.jpeg?w=650&q=80
455;Gulai cumi;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;https://img-global.cpcdn.com/recipes/e795fe0d2b6907a0/1200x630cq70/photo.jpg
456;Gulai ikan masakan;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;https://sweetrip.id/wp-content/uploads/2022/10/1.jpg
457;Gulai ikan paya masakan;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;https://www.glory-travel.com/wp-content/uploads/2018/11/o1AJ9qDyyJNSpZWhUgGYc3MngFqoAN6WRcGHHcyTN6eXyGCVk.jpg
458;Gulai Ikan Paya, Masakan;Tidak;Ikan;Makanan Ringan;Tumis;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;https://asset-2.tstatic.net/tribunnewswiki/foto/bank/images/Gulai-Eungkot-Paya.jpg
459;Gulai Kambing;Tidak;Daging Kambing;Makanan Berat;Tumis;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;https://www.dapurkobe.co.id/wp-content/uploads/gulai-kambing.jpg
460;Gulai kepala ikan kakap;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;https://awsimages.detik.net.id/community/media/visual/2021/09/08/resep-gulai-kepala-ikan_43.jpeg?w=1200
461;Gulai keumamah;Tidak;Ikan;Makanan Berat;Gulai;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;https://img-global.cpcdn.com/recipes/d43cbe5d1ad0490d/680x482cq70/gulai-keumamah-foto-resep-utama.jpg
462;Gulai keumamah masakan;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;https://img-global.cpcdn.com/recipes/d43cbe5d1ad0490d/680x482cq70/gulai-keumamah-foto-resep-utama.jpg
463;Gulai limpa;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;https://img-global.cpcdn.com/recipes/1184d9c5b9cf2c6e/680x482cq70/gulai-limpa-sapi-khas-padang-foto-resep-utama.jpg
464;Gulai pakis;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;https://www.agrowindo.com/wp-content/uploads/2017/06/Gulai-pakis-agrowindo.jpg
465;Gulai pliek;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;https://mediakom.kemkes.go.id/wp-content/uploads/2021/08/kuah-pliek-u.png
466;Gulai tiram;Tidak;Ikan;Makanan Berat;Gulai;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;https://img-global.cpcdn.com/recipes/cc170dc886cb66d0/680x482cq70/gulai-tiram-foto-resep-utama.jpg
467;Gulai tiram masakan;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;https://img-global.cpcdn.com/recipes/09856a93968f8df1/1200x630cq70/photo.jpg
468;Gulai tunjang;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;https://asset.kompas.com/crops/mqYtGN3S_jZncBl0Ug8aj0WNS0E=/0x0:1000x667/750x500/data/photo/2021/03/01/603c964830992.jpg
469;Gurame asem manis;Tidak;Ikan;Makanan Berat;Goreng;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;https://img.kurio.network/XWC0ia8LWGbjcjl9vtnIESw5Sy8=/320x320/filters:quality(80)/https://kurio-img.kurioapps.com/22/02/08/228884b2-6709-42e7-b1c8-1232133186a8.jpe
470;Gurame asem manis masakan;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;https://d12man5gwydfvl.cloudfront.net/wp-content/uploads/2020/03/shutterstock_1561182373.jpg
471;Gurandil;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;https://i.ytimg.com/vi/xDsBbOWMWJo/maxresdefault.jpg
472;Ham;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;https://bakeitwithlove.com/wp-content/uploads/2021/12/glazed-honey-ham-sq.jpg
473;Hamburger;;;;;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/McDonald%27s_Quarter_Pounder_with_Cheese%2C_United_States.jpg/640px-McDonald%27s_Quarter_Pounder_with_Cheese%2C_United_States.jpg
474;Hangop;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;https://www.lekkerensimpel.com/wp-content/uploads/2016/10/IMG_0381-2.jpg
475;Hati ayam goreng;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://awsimages.detik.net.id/community/media/visual/2022/02/14/resep-hari-ayam-goreng-ketumbar_43.jpeg?w=1200
476;Hati Babi;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;https://media.suara.com/pictures/653x366/2019/10/10/41737-ilustrasi-hati-babi-pixabaychodarat.jpg
477;Hati Sapi;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;https://doktersehat.com/wp-content/uploads/2022/04/hati-sapi-doktersehat.jpg
478;Havermout;;;;;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;https://id-test-11.slatic.net/p/2055593e09b807e28ea3fd9b8756b103.jpg
479;Hofa/Ubi hutan segar;;;;;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.mongabay.co.id/wp-content/uploads/2015/05/sikapa02.jpg
480;Hot dog;;;;;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;https://upload.wikimedia.org/wikipedia/commons/b/b1/Hot_dog_with_mustard.png
481;Ikan asar merah;Tidak;Ikan;Makanan Berat;Panggang;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;https://img-global.cpcdn.com/recipes/e6f4ccda24f11e6a/400x400cq70/photo.jpg
482;Ikan asar merah masakan;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;https://t-2.tstatic.net/medan/foto/bank/images2/Resep-Ikan-Asar-dan-Cara-Membuatnya-Hidangan-Khas-Maluku.jpg
483;Ikan Asin bilis goreng;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;https://img-global.cpcdn.com/recipes/446879a009d58694/1200x630cq70/photo.jpg
484;Ikan Asin gabus goreng;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;https://images.tokopedia.net/img/cache/700/product-1/2019/7/27/6486945/6486945_99c1b375-e266-42bb-b539-f5731fb74114_960_960.jpg
485;Ikan Asin japuh goreng;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;https://img-global.cpcdn.com/recipes/756a62f3201bd80c/1200x630cq70/photo.jpg
486;Ikan asin kering;Tidak;Ikan;Makanan Berat;Mentah;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;https://down-id.img.susercontent.com/file/8657d04d72830320cc835b77a1900a41
487;Ikan Asin pari goreng;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;https://img-global.cpcdn.com/recipes/Recipe_2015_01_31_12_33_39_810_87c9c03bd7c9a069b268/680x482cq70/ikan-pari-goreng-foto-resep-utama.jpg
